id,Vcmax,Jmax,Rd,TPU,Vcmax_SE,Jmax_SE,Rd_SE,TPU_SE,rep,site,elevation,species,lma
vercal_pbm_enq_r3,33.49718436,71.32532537,-4.738438639,NA,1.61719881,NA,0.427804011,NA,3,painterboy,3380,vercal,50.2600748
arnhar_cin_ambient_ss3_r1,72.19116111,158.2524778,3.378799981,11.44222212,1.58071674,NA,0.331733654,NA,1,cinnamon,3463,arnhar,
fuzzy_r1_cin,87.10842049,224.0361596,5.928485722,NA,1.527810276,NA,0.327277033,NA,1,cinnamon,3463,arnhar,55.84250318
arnhar_cinnamon_ambient_ss1_r2,119.5341491,215.1614883,6.058142147,12.15553271,1.303737594,NA,0.339700551,NA,2,cinnamon,3463,arnhar,
fuzzy_cinamon_r2,109.6156419,272.3194948,2.733692322,NA,2.924765891,NA,0.5330906,NA,2,cinnamon,3463,arnhar,59.375
arnhar.cin.amb.ss4.r3,103.2602638,251.3732702,4.392873513,16.28302437,0.695313259,NA,0.190391817,NA,3,cinnamon,3463,arnhar,
fuzzy.r3_cin,69.74480875,178.5034175,-3.073848858,NA,1.001536505,NA,0.253965576,NA,3,cinnamon,3463,arnhar,51.03144402
castilleja_cin_ambient_ss3_r1,30.85240917,1000339.414,4.698319638,6.019019452,0.9106848,NA,0.37506631,NA,1,cinnamon,3463,casocc,
white_r1_cin,21.92531568,62.07550194,-1.981863842,5.050981109,0.912313055,NA,0.273233789,NA,1,cinnamon,3463,casocc,
white_cinamon_r2,34.61851056,83.54888379,0.737089063,6.313824769,0.656301977,NA,0.185557739,NA,2,cinnamon,3463,casocc,
castelleja.cin.amb.ss4.r3,22.23302,58.21543748,-2.36058729,3.821510556,0.165224298,NA,0.087740818,NA,3,cinnamon,3463,casocc,
white.r3_cin,24.13068745,916498.6104,-6.346766717,4.050543511,1.265966596,NA,0.275183324,NA,3,cinnamon,3463,casocc,
erygra_cin_ambient_ss3_r1_redo,84.68553142,168.0631742,3.39002664,11.52563433,0.838392411,NA,0.191765293,NA,1,cinnamon,3463,erygra,
erygra_r1_cin,77.15165939,178.5437575,-2.599223661,NA,1.303674076,NA,0.306973081,NA,1,cinnamon,3463,erygra,48.74907303
erygra_cinamon_r2_,86.81453285,180.2294663,1.006053659,NA,0.73372001,NA,0.163359957,NA,2,cinnamon,3463,erygra,55.99080503
erygra_cinnamon_ambient_ss1_r2,91.09543763,167.1876991,4.872686443,NA,0.833108324,NA,0.233081275,NA,2,cinnamon,3463,erygra,
erygra.cin.amb.ss3.r3,84.53418229,178.3338632,3.962000427,NA,0.584961858,NA,0.147834604,NA,3,cinnamon,3463,erygra,
erygra.r3_cin,55.73529696,114.168822,-2.530805256,7.511275841,1.66069704,NA,0.324999802,NA,3,cinnamon,3463,erygra,60.16151116
