Latitude: 36.654554  Longitude: -106.860899
X & Y on Lambert Conformal Conic: -588131.34 -596176.65
Tile: 11377
Elevation: 2213 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,82,43343.92,0.00,598.94,41.94,11.43,-10.12,194.73
2022,83,43487.98,0.00,595.45,41.81,16.05,-5.69,253.57
2022,84,43631.99,0.00,566.54,40.29,17.08,-2.38,330.11
2022,85,43775.92,0.00,559.36,37.75,19.27,0.04,384.83
2022,86,43919.76,0.00,565.88,34.89,20.50,0.82,395.99
2022,87,44063.48,0.00,463.35,32.32,13.96,0.11,446.35
2022,88,44207.04,7.38,234.06,29.67,8.75,0.32,620.17
2022,89,44350.44,4.97,296.73,28.54,7.39,-3.33,452.61
2022,90,44493.63,0.00,506.55,27.37,11.38,-3.22,338.63
2022,91,44636.60,0.00,584.91,26.97,13.65,-5.03,240.65
2022,92,44779.33,0.00,574.48,25.84,14.39,-3.33,243.79
2022,93,44921.77,0.00,523.41,23.38,14.91,-0.13,331.75
2022,94,45063.92,0.00,544.02,21.42,14.80,-1.35,292.72
2022,95,45205.73,0.00,554.63,19.35,15.80,-1.07,286.68
2022,96,45347.19,0.00,562.99,18.37,13.60,-3.66,243.46
2022,97,45488.27,0.00,616.51,18.08,15.72,-5.31,187.08
2022,98,45628.93,0.00,640.25,18.08,17.31,-6.28,160.50
2022,99,45769.16,0.00,609.75,16.81,18.03,-2.97,207.89
2022,100,45908.91,0.00,551.91,14.73,16.16,-1.07,276.05
2022,101,46048.17,0.00,544.65,13.13,14.44,-2.17,266.20
2022,102,46186.90,0.97,515.09,12.58,10.32,-4.71,252.02
2022,103,46325.07,0.00,481.48,12.58,6.21,-7.20,241.63
2022,104,46462.65,0.00,614.13,12.58,12.60,-7.62,164.42
2022,105,46599.60,0.00,612.77,12.04,15.46,-4.69,191.26
2022,106,46735.90,0.00,601.48,10.36,17.70,-2.02,225.70
2022,107,46871.52,0.00,604.67,8.35,18.76,-1.20,231.92
2022,108,47006.41,0.00,608.17,6.12,19.55,-0.70,234.04
2022,109,47140.55,0.00,602.95,3.28,20.81,0.77,255.47
2022,110,47273.90,0.00,589.81,0.15,20.91,1.45,274.34
2022,111,47406.43,0.00,547.99,0.00,21.98,0.95,284.92
2022,112,47538.09,0.00,483.86,0.00,16.20,-0.28,327.10
2022,113,47668.85,0.00,459.12,0.00,14.18,-0.84,339.63
2022,114,47798.68,0.00,554.51,0.00,14.04,-6.49,188.28
2022,115,47927.53,0.00,547.05,0.00,14.80,-5.12,207.32
2022,116,48055.37,0.00,577.96,0.00,18.77,-3.87,180.39
2022,117,48182.15,0.00,514.30,0.00,19.89,1.90,307.50
2022,118,48307.85,0.00,540.62,0.00,20.48,0.55,259.31
2022,119,48432.40,0.00,542.36,0.00,18.76,-1.35,232.24
